"Status","Droga","Proteína","Peroxidação","TBARS"
"DOM","VEH",0.0781354795439303,0.495662949194548,6.34363482617228
"DOM","VEH",0.101609657947686,0.495662949194548,4.878108628706745
"DOM","VEH",0.0613682092555332,0.309789343246592,5.048042740772336
"DOM","VEH",0.0446009389671362,0.4182156133829,9.376834279006063
"DOM","VEH",0.0714285714285715,0.526641883519207,7.372986369268892
"DOM","VEH",0.0647216633132127,0.356257744733581,5.504459040391383
"DOM","VEH",0.0211267605633803,0.309789343246592,14.663362247005344
"DOM","VEH",0.0680751173708921,0.542131350681537,7.963722599666705
"DOM","VEH",0.0177733065057009,0.247831474597274,13.94402749526547
"DOM","VEH",0.0244802146210597,0.123915737298637,5.06187299485665
"DOM","VEH",0.0781354795439303,0.247831474597274,3.17181741308614
"DOM","VEH",0.0747820254862509,0.294299876084263,3.9354360111357467
"DOM","VEH",0.0479543930248156,0.123915737298637,2.5840330673044423
"DOM","VEH",0.0580147551978538,0.278810408921933,4.805853406966498
"DOM","VEH",0.0580147551978538,0.216852540272615,3.7378859831961724
"DOM","VEH",0.0177733065057009,0.170384138785626,9.586518902995017
"DOM","VEH",0.0747820254862509,0.201363073110285,2.6926667444612975
"DOM","VEH",0.121730382293763,0.154894671623296,1.272440525566576
"DOM","VEH",0.0479543930248156,0.635068153655514,13.243169469935252
"CTRL","DPAT",0.0814889336016097,0.232342007434944,2.851209325806595
"CTRL","DPAT",0.148558014755198,0.325278810408922,2.189574294897075
"CTRL","DPAT",0.108316566063045,0.216852540272615,2.0020256194827786
"CTRL","DPAT",0.0781354795439303,0.4182156133829,5.352441884582863
"CTRL","DPAT",0.0814889336016097,0.511152416356878,6.272660516774524
"CTRL","DPAT",0.0949027498323274,0.960346964064436,10.119274370459877
"CTRL","DPAT",0.0714285714285715,0.154894671623296,2.168525402726142
"CTRL","DPAT",0.0747820254862509,0.185873605947955,2.4855385333488846
"CTRL","DPAT",0.0714285714285715,0.216852540272615,3.035935563816607
"CTRL","DPAT",0.155264922870557,0.263320941759604,1.6959461086979213
"CTRL","DPAT",0.104963112005366,0.263320941759604,2.508699834910977
"CTRL","DPAT",0.128437290409121,0.4182156133829,3.2561852718219626
"CTRL","DPAT",0.0647216633132127,0.325278810408922,5.02581042818344
"DOM","DPAT",0.0982562038900068,0.526641883519207,5.359884288922436
"DOM","DPAT",0.0714285714285715,0.232342007434944,3.252788104089213
"DOM","DPAT",0.13514419852448,0.495662949194548,3.6676598374643783
"DOM","DPAT",0.0781354795439303,0.247831474597274,3.17181741308614
"DOM","DPAT",0.0580147551978538,0.185873605947955,3.2039022713109926
"DOM","DPAT",0.00771294433266263,0.309789343246592,40.16486180701473
"DOM","DPAT",0.0580147551978538,0.511152416356878,8.810731246105261
"DOM","DPAT",0.0479543930248156,0.480173482032218,10.013128135804706
"DOM","DPAT",0.0479543930248156,0.247831474597274,5.1680661346088845
"DOM","DPAT",0.148558014755198,0.464684014869889,3.1279632784243963
"DOM","DPAT",0.0714285714285715,0.40272614622057,5.638166047087975
"DOM","DPAT",0.0546613011401744,0.278810408921933,5.100691039295729
"DOM","DPAT",0.0680751173708921,0.40272614622057,5.915908216895263
"DOM","DPAT",0.0345405767940979,0.340768277571252,9.86573790016965
"CTRL","VEH",,0.252019386106624,
"CTRL","VEH",,0.187399030694669,
"CTRL","VEH",,0.276252019386107,
"CTRL","VEH",,0.211631663974152,
"CTRL","VEH",0.0435397229290359,0.413570274636511,9.498688710320387
"CTRL","VEH",0.0308170766186034,0.324717285945073,10.536926976034136
"CTRL","VEH",0.00678541136556404,0.252019386106624,37.1413570274637
"CTRL","VEH",,0.219709208400646,
"CTRL","VEH",0.0308170766186034,0.35702746365105,11.585377421410653
"CTRL","VEH",,0.179321486268175,
"CTRL","VEH",,0.130856219709208,
"CTRL","VEH",,0.227786752827141,
"CTRL","VEH",0.0124399208368674,0.316639741518578,25.453517403436603
"CTRL","VEH",0.101498445009895,0.373182552504039,3.6767317220244875
"CTRL","VEH",,0.155088852988691,
"CTRL","VEH",,0.284329563812601,
"SUB","VEH",0.121730382293763,0.147011308562197,1.2076796752960604
"SUB","VEH",0.108316566063045,0.268174474959612,2.4758398895652087
"SUB","VEH",0.151911468812877,0.155088852988691,1.0209160256341663
"SUB","VEH",0.111670020120724,0.147011308562197,1.3164796460434618
"SUB","VEH",0.13514419852448,0.348949919224556,2.5820562261231452
"SUB","VEH",0.128437290409121,0.235864297253635,1.8364160167371848
"SUB","VEH",0.155264922870557,0.130856219709208,0.842793190438137
"SUB","VEH",0.229040912139504,0.324717285945073,1.417726129850961
"SUB","VEH",0.19215291750503,0.179321486268175,0.9332228133537493
"SUB","VEH",0.185446009389671,0.179321486268175,0.9669740905094012
"SUB","VEH",0.178739101274312,0.074313408723748,0.41576469946382216
"SUB","VEH",0.202213279678068,0.17124394184168,0.8468481502021407
"SUB","VEH",0.185446009389671,0.445880452342488,2.4043680088341803
"SUB","VEH",0.13849765258216,0.0823909531502423,0.5948906108814088
"SUB","VEH",0.202213279678068,0.195476575121163,0.966685152589236
"SUB","VEH",0.0680751173708921,0.17124394184168,2.515514456019158
"SUB","DPAT",0.148558014755198,0.825525040387722,5.556920249291613
"SUB","DPAT",0.302816901408451,0.704361873990307,2.3260322350377556
"SUB","DPAT",0.212273641851107,0.219709208400646,1.0350282139821885
"SUB","DPAT",0.19550637156271,0.348949919224556,1.7848519024487544
"SUB","DPAT",0.286049631120054,0.567043618739903,1.9823259918902567
"SUB","DPAT",0.128437290409121,0.308562197092084,2.402434652032891
"SUB","DPAT",0.182092555331992,0.332794830371567,1.8276135988361186
"SUB","DPAT",0.168678739101274,0.106623586429725,0.6321104070247326
"SUB","DPAT",0.0982562038900068,0.130856219709208,1.3317858265285252
"SUB","DPAT",0.185446009389671,0.260096930533118,1.402548005153272
"SUB","DPAT",0.19550637156271,0.308562197092084,1.5782718211468139
"SUB","DPAT",0.131790744466801,0.130856219709208,0.992909025885134
"SUB","DPAT",0.185446009389671,0.405492730210016,2.1865810515122424
"SUB","DPAT",0.104963112005366,0.397415185783522,3.7862366901164766
"SUB","DPAT",0.182092555331992,0.260096930533118,1.428377618507841
"SUB","DPAT",0.168678739101274,0.308562197092084,1.8292892082079446
"SUB","DPAT",0.175385647216633,0.235864297253635,1.3448323793696753
"CTRL","VEH",0.0215982721382292,0.364879074658254,16.893901156676957
